MP Name,StdPolygon,BACM_Type,AirSci Acres,AirSci Acres Sum,Phase,BACM_Typ_1,Cent_N,Cent_E,MP Acres
 T6-7A ,T6-7A,Managed Vegetation,39.9742,39.9742,1,Managed Vegetation,4023978.51,413194.7073,40
 T6-7B ,T6-7B,Managed Vegetation,39.9654,39.9654,1,Managed Vegetation,4023654.975,412955.7424,40
 T6-7C ,T6-7C,Managed Vegetation,39.9628,39.9628,1,Managed Vegetation,4023893.926,412632.2964,40
 T6-7D ,T6-7D,Managed Vegetation,39.968,39.968,1,Managed Vegetation,4024217.444,412871.2885,40
 T7-4A ,T7-4A,Managed Vegetation,40.0005,40.0005,1,Managed Vegetation,4023191.214,415613.9386,40
 T7-4C ,T7-4C,Managed Vegetation,39.9779,39.9779,1,Managed Vegetation,4023106.815,415051.4047,40
 T7-4D ,T7-4D,Managed Vegetation,39.9961,39.9961,1,Managed Vegetation,4023430.33,415290.4628,40
 T7-5A ,T7-5A,Managed Vegetation,39.9971,39.9971,1,Managed Vegetation,4023669.365,414966.8711,40
 T7-5B ,T7-5B,Managed Vegetation,39.9791,39.9791,1,Managed Vegetation,4023345.839,414727.832,40
 T7-5C ,T7-5C,Managed Vegetation,39.9809,39.9809,1,Managed Vegetation,4023584.894,414404.2351,40
 T7-5D ,T7-5D,Managed Vegetation,39.9994,39.9994,1,Managed Vegetation,4023908.402,414643.2774,40
 T7-6A ,T7-6A,Managed Vegetation,39.9823,39.9823,1,Managed Vegetation,4024147.437,414319.7563,40
 T7-6B ,T7-6B,Managed Vegetation,39.9643,39.9643,1,Managed Vegetation,4023823.936,414080.715,40
 T7-6C ,T7-6C,Managed Vegetation,39.9784,39.9784,1,Managed Vegetation,4024062.965,413757.1954,40
 T7-6D ,T7-6D,Managed Vegetation,39.9962,39.9962,1,Managed Vegetation,4024386.457,413996.2392,40
 T7-7A ,T7-7A,Managed Vegetation,39.9828,39.9828,1,Managed Vegetation,4024625.479,413672.7192,40
 T7-7B ,T7-7B,Managed Vegetation,39.9613,39.9613,1,Managed Vegetation,4024302.001,413433.6737,40
 T7-7C ,T7-7C,Managed Vegetation,39.9451,39.9451,1,Managed Vegetation,4024540.957,413110.3024,39.9
 T7-7D ,T7-7D,Managed Vegetation,39.9602,39.9602,1,Managed Vegetation,4024864.42,413349.3457,40
 T8-3A ,T8-3A,Managed Vegetation,39.9639,39.9639,1,Managed Vegetation,4023599.325,416415.4358,40
 T8-3B ,T8-3B,Managed Vegetation,39.6682,39.6682,1,Managed Vegetation,4023277.168,416175.5163,39.7
 T8-4A ,T8-4A,Managed Vegetation,39.9618,39.9618,1,Managed Vegetation,4023838.308,416091.9924,40
 T8-4B ,T8-4B,Managed Vegetation,39.9667,39.9667,1,Managed Vegetation,4023514.835,415853.0258,40
 T8-4C ,T8-4C,Managed Vegetation,39.9817,39.9817,1,Managed Vegetation,4023753.848,415529.5091,40
 T8-4D ,T8-4D,Managed Vegetation,40.3839,40.3839,1,Managed Vegetation,4024079.125,415767.6109,40.4
 T8-5A ,T8-5A,Managed Vegetation,39.737,39.737,1,Managed Vegetation,4024317.122,415443.6177,39.7
 T8-5B ,T8-5B,Managed Vegetation,39.9765,39.9765,1,Managed Vegetation,4023992.865,415205.9153,40
 T8-5C ,T8-5C,Managed Vegetation,39.9756,39.9756,1,Managed Vegetation,4024231.896,414882.3174,40
 T8-5D ,T8-5D,Managed Vegetation,39.9993,39.9993,1,Managed Vegetation,4024555.389,415121.3577,40
 T8-6A ,T8-6A,Managed Vegetation,39.9845,39.9845,1,Managed Vegetation,4024794.415,414797.837,40
 T8-6B ,T8-6B,Managed Vegetation,39.9611,39.9611,1,Managed Vegetation,4024470.919,414558.7975,40
 T8-6C ,T8-6C,Managed Vegetation,41.5475,41.5475,1,Managed Vegetation,4024714.601,414228.8354,41.5
 T8-6D ,T8-6D,Managed Vegetation,43.0183,43.0183,1,Managed Vegetation,4025043.384,414471.5937,43
 T8W ,T8W,Brine,124.575,124.575,4,Brine,4025311.988,414280.5875,124.6
 T9 ,T9,99% Efficiency Wetting Basins (2003),292.519,292.519,4,Shallow Flooding,4024295.497,416472.9886,292.8
